City,Country_code,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Preassure,Sea Level (ft)
vaini,to,-74.43161604525939,-74.43161604525939,73.4,88.0,90.0,10.36,1008.0,
saint anthony,ca,57.416127624368215,57.416127624368215,40.87,87.0,20.0,8.05,1014.0,
norman wells,ca,83.38857203594208,83.38857203594208,26.6,43.0,75.0,6.91,1019.0,
dickinson,us,46.98359946827162,46.98359946827162,75.51,88.0,90.0,9.22,1012.0,
vestmannaeyjar,is,57.50221958983238,57.50221958983238,42.28,75.0,3.0,18.52,1025.0,1025.0
isangel,vu,-15.508669039510053,-15.508669039510053,77.0,73.0,40.0,5.75,1010.0,
blythe,us,33.30369902186885,33.30369902186885,62.38,32.0,20.0,6.91,1012.0,
dodge city,us,38.3633621146391,38.3633621146391,64.69,72.0,1.0,17.27,1008.0,
palermo,it,38.70101427441756,38.70101427441756,61.99,73.0,94.0,1.77,972.0,
puerto ayora,ec,0.0720299807572502,0.0720299807572502,74.64,92.0,25.0,6.76,1013.0,1013.0
cherskiy,ru,79.21846845337285,79.21846845337285,30.65,82.0,98.0,12.91,1018.0,1018.0
orbetello,it,42.20464659760833,42.20464659760833,54.37,94.0,90.0,11.5,1006.0,
bathsheba,bb,14.950736459399224,14.950736459399224,78.8,69.0,40.0,17.27,1012.0,
amalapuram,in,14.992097330552411,14.992097330552411,91.4,55.0,40.0,6.91,1010.0,
hattiesburg,us,31.38564173014906,31.38564173014906,69.66,83.0,1.0,5.75,1017.0,
faanui,pf,-9.1578421551486,-9.1578421551486,82.02,72.0,57.0,12.8,1015.0,1015.0
esperance,au,-56.288520711527426,-56.288520711527426,75.2,57.0,59.0,8.05,1021.0,
muncar,id,-11.011316267139932,-11.011316267139932,84.02,60.0,45.0,7.16,1011.0,1011.0
pevek,ru,75.50942767253511,75.50942767253511,25.72,84.0,100.0,7.67,1019.0,1019.0
beringovskiy,ru,57.14463940803415,57.14463940803415,31.91,86.0,91.0,7.18,1018.0,1018.0
new norfolk,au,-69.44436126791643,-69.44436126791643,59.32,75.0,98.0,3.0,1019.0,
jeremie,ht,19.552504483608644,19.552504483608644,77.43,78.0,2.0,9.6,1014.0,1014.0
kholodnyy,ru,60.53716319378805,60.53716319378805,30.38,86.0,87.0,2.89,1016.0,1016.0
namatanai,pg,1.7363080192497051,1.7363080192497051,83.95,71.0,64.0,7.31,1009.0,1009.0
souillac,mu,-37.14539737281817,-37.14539737281817,78.8,83.0,75.0,21.85,1019.0,
walvis bay,na,-24.764099919391683,-24.764099919391683,58.05,100.0,90.0,4.61,1013.0,
carnarvon,au,-30.97865570500374,-30.97865570500374,84.2,51.0,0.0,11.5,1016.0,
pitmoaga,bf,12.391665824742702,12.391665824742702,87.8,45.0,96.0,6.91,1007.0,
hoegaarden,be,50.75459843357024,50.75459843357024,43.29,65.0,20.0,3.44,1004.0,
lagoa,pt,39.953546799957394,39.953546799957394,59.47,79.0,100.0,10.96,1020.0,1020.0
tianpeng,cn,32.15751620662678,32.15751620662678,75.2,33.0,0.0,4.47,1023.0,
usinsk,ru,66.08002347498069,66.08002347498069,31.08,78.0,100.0,9.28,1004.0,1004.0
vila do maio,cv,15.02694199417438,15.02694199417438,69.8,73.0,75.0,10.36,1012.0,
cabedelo,br,-6.86438126518992,-6.86438126518992,75.2,94.0,20.0,3.44,1010.0,
sukumo,jp,32.28323972923798,32.28323972923798,63.84,92.0,100.0,2.01,1017.0,1017.0
tuktoyaktuk,ca,87.73484082042094,87.73484082042094,14.0,62.0,20.0,12.66,1020.0,
northam,au,-30.024799152274888,-30.024799152274888,43.68,93.0,85.0,5.01,1005.0,
sambava,mg,-13.168208919420138,-13.168208919420138,80.38,72.0,55.0,8.52,1016.0,1016.0
pangody,ru,66.81791580770457,66.81791580770457,33.39,100.0,100.0,7.63,999.0,999.0
labuhan,id,-17.554887986992327,-17.554887986992327,85.06,64.0,36.0,5.3,1010.0,1010.0
yarada,in,16.388222415755678,16.388222415755678,95.0,52.0,20.0,9.22,1010.0,
kandrian,pg,-5.831450772706077,-5.831450772706077,84.51,68.0,45.0,6.87,1009.0,1009.0
emerald,au,-25.85284493712055,-25.85284493712055,81.81,24.0,1.0,6.91,1018.0,
baykit,ru,62.857723331421425,62.857723331421425,39.65,81.0,86.0,6.69,1016.0,1016.0
luwuk,id,-0.8354113861359878,-0.8354113861359878,86.95,62.0,8.0,3.09,1010.0,1010.0
clyde river,ca,68.13256388637657,68.13256388637657,10.4,79.0,1.0,3.44,1030.0,
sinegorye,ru,62.40123531172904,62.40123531172904,33.44,86.0,32.0,1.28,1016.0,1016.0
houma,us,26.004522410558806,26.004522410558806,76.01,88.0,90.0,14.97,1015.0,
barrow,us,83.6754663566191,83.6754663566191,19.4,86.0,90.0,2.08,1011.0,
avarua,ck,-37.39917321638414,-37.39917321638414,80.6,83.0,76.0,8.05,1014.0,
mar del plata,ar,-71.7423858605835,-71.7423858605835,56.1,93.0,0.0,8.05,1018.0,
kawalu,id,-17.417158981220936,-17.417158981220936,81.43,74.0,63.0,5.19,1012.0,1012.0
hambantota,lk,3.308589118435549,3.308589118435549,89.6,74.0,40.0,6.91,1012.0,
khatanga,ru,88.0890289894536,88.0890289894536,32.4,97.0,76.0,6.4,1010.0,1010.0
wielun,pl,51.42076032082505,51.42076032082505,45.54,53.0,1.0,5.01,1014.0,
mecca,sa,20.567179434405347,20.567179434405347,90.88,25.0,0.0,8.77,1010.0,1010.0
brigantine,us,36.98917427812215,36.98917427812215,57.06,72.0,1.0,6.91,1012.0,
leshukonskoye,ru,64.41059299443609,64.41059299443609,30.2,78.0,100.0,6.38,1005.0,1005.0
toyooka,jp,36.05648218815929,36.05648218815929,62.6,88.0,75.0,5.75,1016.0,
taoudenni,ml,25.152307969197068,25.152307969197068,87.19,16.0,85.0,12.77,1007.0,1007.0
jumla,np,29.65461151572609,29.65461151572609,69.33,26.0,16.0,7.34,1017.0,1017.0
mahebourg,mu,-37.28948447296117,-37.28948447296117,78.8,83.0,75.0,21.85,1019.0,
antalaha,mg,-16.035062390170538,-16.035062390170538,81.36,68.0,36.0,5.28,1016.0,1016.0
atyrau,kz,47.69598192836662,47.69598192836662,55.4,58.0,0.0,13.42,1019.0,
berlevag,no,89.88647175686381,89.88647175686381,25.27,80.0,75.0,17.27,1009.0,
lorengau,pg,5.216942637849215,5.216942637849215,83.84,76.0,33.0,8.61,1008.0,1008.0
sitka,us,40.187004375759045,40.187004375759045,44.6,93.0,90.0,3.44,1006.0,
dubti,et,11.93257845326859,11.93257845326859,85.5,52.0,98.0,5.3,1011.0,1011.0
grindavik,is,55.49415326589477,55.49415326589477,42.8,93.0,75.0,6.91,1027.0,
kpandae,gh,8.140016509471366,8.140016509471366,79.97,79.0,99.0,5.01,1008.0,1008.0
salinopolis,br,0.7352641824496686,0.7352641824496686,78.51,83.0,100.0,6.33,1008.0,1008.0
antibes,fr,43.300326294199664,43.300326294199664,56.25,82.0,90.0,6.91,1006.0,
pisco,pe,-22.15618643394579,-22.15618643394579,63.79,94.0,90.0,3.44,1013.0,
zhezkazgan,kz,48.6654766363292,48.6654766363292,75.81,22.0,81.0,4.85,1013.0,1013.0
longyearbyen,sj,85.75204878956757,85.75204878956757,19.4,68.0,75.0,5.75,1017.0,
lavrentiya,ru,65.48615835435808,65.48615835435808,32.04,92.0,100.0,2.95,1010.0,1010.0
charters towers,au,-19.50120950413971,-19.50120950413971,75.85,49.0,71.0,9.55,1016.0,1016.0
turkan,az,39.56358334064092,39.56358334064092,68.0,56.0,0.0,18.41,1014.0,
beisfjord,no,67.57457351596494,67.57457351596494,25.45,93.0,75.0,3.06,1015.0,
luderitz,na,-32.9629810283384,-32.9629810283384,59.88,76.0,7.0,8.01,1012.0,1012.0
kasongo,cd,-4.31903705593416,-4.31903705593416,71.62,91.0,92.0,2.1,1011.0,1011.0
fortuna,us,39.00374130720121,39.00374130720121,47.12,100.0,75.0,3.53,1024.0,
pingliang,cn,35.6224922685814,35.6224922685814,63.5,17.0,15.0,24.36,1019.0,1019.0
saldanha,za,-40.127125688915726,-40.127125688915726,51.8,85.0,90.0,1.14,1015.0,
bulgan,mn,47.61531587490103,47.61531587490103,47.39,33.0,81.0,12.35,1009.0,1009.0
klyuchi,ru,56.61576652518198,56.61576652518198,70.14,30.0,100.0,19.73,1008.0,1008.0
ambilobe,mg,-13.637458464065261,-13.637458464065261,82.04,67.0,24.0,4.03,1014.0,1014.0
jackson,us,35.28693141715058,35.28693141715058,50.7,35.0,1.0,6.91,1022.0,
waingapu,id,-13.387158153719056,-13.387158153719056,83.95,56.0,22.0,7.61,1011.0,1011.0
codrington,ag,21.543228492418947,21.543228492418947,59.83,67.0,100.0,5.59,1023.0,1023.0
balkanabat,tm,41.22982780907245,41.22982780907245,68.41,56.0,29.0,6.31,1016.0,1016.0
heyang,cn,29.972731651584027,29.972731651584027,59.22,82.0,99.0,6.55,1020.0,1020.0
chokurdakh,ru,87.53234634305267,87.53234634305267,27.84,95.0,100.0,12.48,1014.0,1014.0
erzincan,tr,39.96563306349711,39.96563306349711,62.6,45.0,0.0,5.75,1019.0,
jafarpur,in,22.315861159650595,22.315861159650595,95.0,59.0,0.0,5.75,1009.0,
ponta do sol,cv,15.749551616352193,15.749551616352193,55.26,83.0,100.0,4.0,1012.0,
tiznit,ma,27.231337592405126,27.231337592405126,55.04,86.0,47.0,4.92,1011.0,1011.0
bambous virieux,mu,-32.07049677684454,-32.07049677684454,78.42,83.0,75.0,21.85,1019.0,
necochea,ar,-47.72841284681063,-47.72841284681063,55.99,85.0,0.0,4.0,1019.0,
odweyne,so,9.640597487957152,9.640597487957152,78.19,55.0,69.0,13.8,1014.0,1014.0
lata,sb,-13.251345006164854,-13.251345006164854,54.84,94.0,75.0,4.61,1006.0,
kaeo,nz,-30.016677850130527,-30.016677850130527,57.0,73.0,81.0,1.01,1016.0,
san jose,gt,10.861230193957525,10.861230193957525,53.47,65.0,0.0,1.72,1025.0,
bethel,us,41.055250754989515,41.055250754989515,51.98,50.0,40.0,4.61,1014.0,
fort morgan,us,39.71882643988212,39.71882643988212,44.6,93.0,90.0,14.97,1015.0,
yicheng,cn,31.4744125010496,31.4744125010496,73.99,64.0,90.0,1.7,956.0,
pecos,us,31.4305236296579,31.4305236296579,70.29,18.0,1.0,5.75,1007.0,
pelym,ru,62.566531662711185,62.566531662711185,46.74,52.0,86.0,6.33,1004.0,1004.0
bendigo,au,-36.508575572751745,-36.508575572751745,68.54,39.0,9.0,3.4,1019.0,
les cayes,ht,17.19396711865275,17.19396711865275,73.96,79.0,2.0,4.88,1013.0,1013.0
derzhavinsk,kz,49.81828819890566,49.81828819890566,57.31,63.0,51.0,8.37,1016.0,1016.0
babstovo,ru,47.98227293712907,47.98227293712907,48.34,81.0,100.0,8.46,999.0,999.0
guanaja,hn,16.229496743057226,16.229496743057226,80.19,89.0,0.0,24.16,1013.0,
norwich,us,41.57544830322095,41.57544830322095,46.87,87.0,0.0,9.22,1007.0,
goderich,sl,4.976740181903949,4.976740181903949,55.4,82.0,100.0,10.36,1010.0,
kieta,pg,-3.2231389320495936,-3.2231389320495936,82.9,73.0,94.0,2.82,1009.0,1009.0
prince rupert,ca,53.110334441713945,53.110334441713945,46.4,76.0,90.0,12.66,1013.0,
rudnichnyy,ru,59.59511747032377,59.59511747032377,40.42,85.0,100.0,2.82,1003.0,1003.0
davidson,ca,51.146580269524065,51.146580269524065,69.53,68.0,1.0,4.61,1015.0,
grand gaube,mu,-14.392223208365166,-14.392223208365166,78.01,84.0,100.0,7.0,1017.0,
okhotsk,ru,58.80719051337539,58.80719051337539,33.22,72.0,100.0,2.93,1019.0,1019.0
ongandjera,na,-18.626456788217524,-18.626456788217524,68.7,43.0,42.0,6.91,1013.0,1013.0
tateyama,jp,31.729860556448656,31.729860556448656,70.61,56.0,75.0,16.11,1019.0,
phonhong,la,18.543437483579552,18.543437483579552,89.6,58.0,40.0,6.91,1012.0,
monze,zm,-16.206967045155224,-16.206967045155224,71.49,57.0,27.0,5.99,1015.0,1015.0
severo-kurilsk,ru,40.46388826757331,40.46388826757331,34.03,94.0,99.0,14.79,1004.0,1004.0
thompson,ca,71.17702582322275,71.17702582322275,14.0,73.0,75.0,4.61,1020.0,
takoradi,gh,-3.982190483089468,-3.982190483089468,80.65,85.0,95.0,5.61,1009.0,1009.0
moctezuma,mx,29.38450840263131,29.38450840263131,59.09,40.0,25.0,4.12,1011.0,1011.0
katsuura,jp,32.37533035377584,32.37533035377584,71.24,53.0,75.0,23.02,1016.0,
ribeira grande,pt,33.62167721651198,33.62167721651198,60.8,63.0,75.0,14.97,1019.0,
mbandaka,cd,0.5461427607704081,0.5461427607704081,73.31,93.0,99.0,2.77,1009.0,1009.0
trelew,ar,-43.23866231002785,-43.23866231002785,62.87,50.0,100.0,11.12,1011.0,1011.0
torbay,ca,44.4788056863822,44.4788056863822,40.24,93.0,90.0,4.61,1011.0,
talnakh,ru,70.18794011698225,70.18794011698225,33.15,85.0,88.0,10.33,1004.0,1004.0
kaitangata,nz,-63.74136424411768,-63.74136424411768,49.41,81.0,86.0,8.28,1015.0,1015.0
langham,ca,53.12580635994419,53.12580635994419,28.4,54.0,75.0,12.66,1018.0,
rundu,na,-18.4173961321828,-18.4173961321828,68.34,53.0,91.0,4.52,1014.0,1014.0
upernavik,gl,86.0958858734545,86.0958858734545,23.07,93.0,81.0,6.04,1035.0,1035.0
marshfield,us,44.36681942010861,44.36681942010861,45.61,87.0,90.0,5.75,1011.0,
kenai,us,61.90287757350424,61.90287757350424,39.11,75.0,1.0,9.22,1004.0,
alta floresta,br,-11.954410295604006,-11.954410295604006,68.83,98.0,76.0,2.24,1010.0,1010.0
novoagansk,ru,61.55582166363499,61.55582166363499,48.49,46.0,28.0,17.13,1004.0,1004.0
soyo,ao,-9.180289276709772,-9.180289276709772,77.92,88.0,99.0,4.79,1009.0,1009.0
axim,gh,-4.046233554234334,-4.046233554234334,80.19,86.0,100.0,4.88,1009.0,1009.0
narsaq,gl,73.90922214067069,73.90922214067069,35.6,80.0,14.0,1.14,1032.0,
port keats,au,-14.345567827341043,-14.345567827341043,93.27,45.0,82.0,3.38,1009.0,1009.0
shubarkuduk,kz,48.60795534440001,48.60795534440001,53.22,53.0,6.0,0.47,1019.0,1019.0
chuy,uy,-53.14314761482445,-53.14314761482445,50.86,86.0,5.0,6.26,1019.0,1019.0
kavieng,pg,9.161105304866396,9.161105304866396,82.87,74.0,23.0,7.61,1009.0,1009.0
san carlos del zulia,ve,9.078808904216615,9.078808904216615,73.2,97.0,100.0,4.32,1009.0,1009.0
fairbanks,us,65.61814623459733,65.61814623459733,42.21,26.0,1.0,5.97,1007.0,
port hawkesbury,ca,44.36057014815614,44.36057014815614,37.51,93.0,90.0,13.8,1006.0,
geraldton,ca,53.69336035387454,53.69336035387454,86.0,26.0,2.0,10.36,1017.0,
ngunguru,nz,-32.90429612069046,-32.90429612069046,57.0,73.0,69.0,1.01,1016.0,
ghanzi,bw,-20.850027913446837,-20.850027913446837,68.07,41.0,33.0,5.75,1015.0,1015.0
kjellerup,dk,56.31307657668353,56.31307657668353,39.2,75.0,75.0,5.75,1012.0,
tias,es,30.067229098304722,30.067229098304722,62.6,82.0,20.0,3.44,1012.0,
teguise,es,29.981654719688947,29.981654719688947,62.6,82.0,20.0,3.44,1012.0,
belaya gora,ru,69.57243841454192,69.57243841454192,30.96,92.0,100.0,5.08,1015.0,1015.0
nanakuli,us,5.741080243561498,5.741080243561498,74.19,69.0,20.0,11.5,1015.0,
nanchong,cn,30.878572128139112,30.878572128139112,72.95,49.0,100.0,6.4,1020.0,1020.0
kloulklubed,pw,5.6842859229042375,5.6842859229042375,84.2,74.0,75.0,4.61,1011.0,
palmer,us,61.77264031016804,61.77264031016804,49.66,66.0,90.0,9.22,1013.0,
sungurlu,tr,40.171442892823336,40.171442892823336,64.02,39.0,72.0,4.27,1015.0,1015.0
mucurapo,tt,10.898837610912864,10.898837610912864,77.34,83.0,20.0,3.44,1011.0,
poronaysk,ru,49.875333666147014,49.875333666147014,37.22,75.0,100.0,9.93,1015.0,1015.0
henties bay,na,-20.99042870391719,-20.99042870391719,59.0,94.0,2.0,3.0,1014.0,
orje,no,59.27152710881464,59.27152710881464,38.03,55.0,43.0,3.0,1014.0,
ilebo,cd,-4.693351935094739,-4.693351935094739,75.29,83.0,99.0,1.9,1010.0,1010.0
yashan,cn,22.406357165110308,22.406357165110308,79.59,77.0,99.0,7.2,1014.0,1014.0
perth,au,-31.14851823540519,-31.14851823540519,84.33,25.0,77.0,9.22,1018.0,
bac lieu,vn,6.1978817267340105,6.1978817267340105,88.11,58.0,88.0,12.12,1011.0,1011.0
port hedland,au,-16.678327244809637,-16.678327244809637,95.0,16.0,0.0,12.66,1013.0,
lufilufi,ws,-9.360592231686923,-9.360592231686923,80.29,89.0,75.0,3.44,1011.0,
verkhnetulomskiy,ru,68.928076905751,68.928076905751,28.4,80.0,75.0,6.71,1008.0,
miandrivazo,mg,-20.366690882395588,-20.366690882395588,81.84,61.0,0.0,3.09,1016.0,1016.0
sao domingos,br,-13.489989063637452,-13.489989063637452,69.15,83.0,32.0,1.95,1011.0,1011.0
mbini,gq,1.414434708770358,1.414434708770358,75.2,100.0,40.0,14.2,1008.0,
nikolskoye,ru,51.472286314054514,51.472286314054514,34.97,80.0,75.0,2.24,1011.0,
zhigansk,ru,68.98250950338081,68.98250950338081,26.76,77.0,28.0,4.18,1021.0,1021.0
sao filipe,cv,9.793752752149842,9.793752752149842,72.32,75.0,65.0,8.61,1011.0,1011.0
celestun,mx,24.34093709628064,24.34093709628064,81.1,66.0,3.0,16.37,1012.0,1012.0
saveh,ir,35.157607150127035,35.157607150127035,78.31,26.0,100.0,3.33,1013.0,1013.0
gladstone,au,-24.4403759802085,-24.4403759802085,77.0,53.0,75.0,14.97,1018.0,
kondinskoye,ru,60.060755932939514,60.060755932939514,49.46,48.0,96.0,10.56,1006.0,1006.0
maxixe,mz,-22.262528941026673,-22.262528941026673,75.97,88.0,20.0,4.61,1016.0,
fallon,us,38.181828112705716,38.181828112705716,39.2,56.0,1.0,5.75,1023.0,
